ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval,filename,clap_score,fad_score
F7Y1T-rQ2JU,410,420,/m/0l14t7,"['educational recording', 'male voice', 'instructive speaking', 'german', 'instrumental', 'various singing bowls', 'meditation', 'calming']",This is an educational recording. There is a male voice speaking in an instructive manner regarding numerous singing bowls in different shapes and sizes. The player hits each singing bowl while describing their feelings. The sound of the bowls could be isolated from the voice for meditation music.,9,False,False,F7Y1T-rQ2JU.wav,0.1883350908756256,1.0308200716387859
hu6sChY-Yps,30,40,"/m/01hgjl,/m/04rlf,/m/07qb_dv","['low quality', 'dj scratching vinyl', 'hip hop', 'punchy snare', 'punchy kick', 'repetitive wooden percussive elements', 'shimmering hi hats', 'soft crash cymbal', 'muffled', 'energetic', 'manic']","The low quality recording features a DJ scratching the vinyl of a hip hop song that consists of punchy kick and snare, repetitive wooden percussive elements, shimmering hi hats and open hats and soft crash cymbals. It sounds manic, energetic and kind of muffled, since it was probably recorded with a poor quality microphone.",4,True,True,hu6sChY-Yps.wav,0.5284780263900757,1.1592465638529887
RFNRR78dh-8,80,90,"/m/04szw,/m/0dwsp,/m/0dwt5,/m/0l14md","['marimba', 'shaker', 'african feeling', 'tropical feeling', 'happy', 'positive', 'cheerful']","This is a fun, cheerful and positive song played on the marimba. Percussively, we heard a shaker and some hand tapping on a hard surface. The song creates a light mood and has an African vibe.",3,False,False,RFNRR78dh-8.wav,0.32644122838974,0.7692199646842113
xyco-5DC_K8,30,40,"/m/015vgc,/m/02w4v,/m/04rlf,/m/04szw,/m/0jtg0","['instrumental', 'medium fast tempo', 'engaging', 'impactful', 'concert', 'indian clasical', 'carnatic music', 'south indian classical', 'flute harmony', 'violin', 'indian classical violin', 'ragas', 'kriti', 'tala', 'sruti', 'traditional indian music', 'south indian traditional music', 'happy', 'skilled', 'lively', 'wind instrument', 'string instrument', 'bowed string instrument', 'indian percussion instruments', 'classical ensemble', 'gadam rhythm', 'mridangam rhythm']","This music is an Indian Classical Instrumental. The tempo is medium fast with an ensemble of a lively violin, melodic flute and rhythmic accompaniment of the Indian percussion gadam and mridangam . The music uses ragas, talas and Sruti to form a harmony. It is classic, lively, rhythmic, engaging and enthralling.",7,True,True,xyco-5DC_K8.wav,0.46146005392074585,0.7504611908805003
I5CBPhpimtg,30,40,"/m/0192l,/m/085jw","['irish-folk', 'djembe', 'bagpipe', 'uptempo', 'traditional']",Someone is playing a big djembe along to a fast paced melody in a higher register played on a bagpipe. This song may be playing during a traditional holiday in Ireland.,6,False,False,I5CBPhpimtg.wav,0.3662693500518799,0.7857320606124034
Ztlcnd14Kn4,30,40,"/m/015lz1,/m/03lty,/m/04rlf,/m/05r6t,/m/05rwpb,/m/06by7,/m/0dl5d,/m/0dls3","['make singer', 'fast tempo', 'rock band', 'backup singers', 'vocal harmony', 'strong rock drumming', 'distorted guitar rhythm', 'guitar playing lead', 'tambourine percussions', 'cymbals crashing', 'emotional', 'romantic', 'groovy rhythm', 'high in adrenaline', 'passionate', 'spirited', 'retro rock hits', 'average audio quality']","A male singer sings this rock melody with backup singers in vocal harmony. The song is fast tempo with a strong drumming rhythm , percussive bass line, amplified guitar playing lead. The song is energetic and romantic. The song is a retro rock song with average audio quality.",1,False,True,Ztlcnd14Kn4.wav,0.43673717975616455,1.020633518637382
LKurVRvkmKc,30,40,"/m/02w4v,/m/04rlf,/m/0jtg0","['oriental', 'meditative', 'zitar', 'percussive sounds', 'shrutibox', 'voices chanting', 'slow to medium tempo']",Someone is playing a melody on a zitar along with a shrutibox in the background. At the end male and female voices are chanting in the mid to high range and a percussive sound can be heard. This song may be playing live at a concert while meditating.,6,False,False,LKurVRvkmKc.wav,0.5507774353027344,1.004214525164329
DP72GDe6AAs,18,28,"/m/04rlf,/m/07pjwq1","['2000s pop/synth-rock', 'drums', 'sound effects', 'synth pad sound', 'medium to uptempo']",This song contains a drum set playing a groove with an outstanding snare hit and hihats panned to the right side of the speakers. Synthesizer pad sounds are rising up in pitch to the mid range. The recording also contains something like a short sniffing sound used as part of the rhythm and sound effects. This song may be playing in a thriller-movie.,6,False,True,DP72GDe6AAs.wav,0.24061238765716553,1.2122041582476726
Utl5it7YMUs,330,340,"/m/04rlf,/m/07s8j8t","['hard rock', 'male vocal', 'electric guitar', 'bass guitar', 'acoustic drums', 'groovy', 'raw', 'psychedelic']","This is a hard rock music piece. There is a male vocalist singing in the lead. The electric guitar is playing the main melody while a bass guitar plays in the background. The acoustic drums are playing a groovy rock beat. There is a raw,  psychedelic feel to this piece. It could be playing in the background of a rock bar.",9,False,True,Utl5it7YMUs.wav,0.6111897826194763,0.9543176888835063
nnUva-yCR08,120,130,"/m/04rlf,/m/07k1x,/m/08j51y","['buzzing saw machine', 'loud', 'noisy', 'mono', 'low quality', 'muffled rock music', 'tutorial']","The low quality recording features a loud, buzzing saw machine cutting wood. There is a muffled rock song playing in the background. The recording is mono and noisy. It sounds like it is a tutorial video.",4,False,True,nnUva-yCR08.wav,0.1345697045326233,0.9781112670313945
