id,aspect_list,prediction,__index_level_0__,filename,clap_score
29816e32d9a2b8b83094e453e61028e1,"['e-bass', 'male voice singing', 'pop', 'slower tempo']","This song features a hypnotic blend of atmospheric synths and minimalist drum programming in a repetitive groove reminiscent of post-punk's darker tendencies. A melancholic guitar arpeggio pattern provides an undercurrent beneath mournful vocal melodies delivered in a detached, spoken-word style. Distorted bass notes underscored by sparse percussion create tension throughout the track which resolves into a soaring chorus featuring layered harmonies and filtered synth textures. Dynamics range from intimate whispers to driving crescendos emphasizing the emotional intensity of the lyrics.",21,29816e32d9a2b8b83094e453e61028e1.wav,0.4725615978240967
0e7e7930ee0d10c6def0ec286822cf4e,"['exciting', 'fast tempo', 'groovy', 'passionate', 'steady rhythm', 'trumpets']","This melancholic electro-pop ballad features a sparse piano accompaniment in minor key, punctuated by atmospheric synthesizer pads evoking a sense of desolation. A mournful vocal line soars above, employing legato phrasing and wide vibrato for emotional expression. Dynamics shift dramatically from hushed intimacy to soaring crescendo, supported by driving drum machine rhythms and distant ambient textures created through liberal use of reverb and delay effects.",237,0e7e7930ee0d10c6def0ec286822cf4e.wav,0.3212288022041321
f0776b5b93c908017410443f4f2a1eda,"['acoustic guitar', 'bass', 'dance', 'energetic', 'female vocal', 'groovy', 'medium fast tempo']","This downtempo electronic track features a minimalist beat constructed from an eerie ambient piano motif in E minor, complemented by a filtered vocal sample repeating ""lost"" in an ascending arpeggio pattern. Distorted synths provide atmospheric pads while a pulsing sub-bass underpins the arrangement. As it builds towards its climax, the mix is punctuated by staccato snare hits and rising synth leads. Dynamics shift dramatically between hushed introspection and explosive outbursts.",240,f0776b5b93c908017410443f4f2a1eda.wav,0.40321147441864014
36055227aed2d9eb185db4f68e3b559b,"['house', 'passionate', 'uptempo']","This atmospheric electronic track features a repetitive synthesizer riff in A minor played through a gated reverb effect, accompanied by a driving drum machine beat in 4/4 time at 120 BPM. Haunting vocal samples whisper phrases over a filtered bassline, while an ambient piano plays legato arpeggios above. As the song builds, distorted guitar chords enter in the background, adding tension before resolving into a soaring chorus featuring layered harmonies and rising strings.",160,36055227aed2d9eb185db4f68e3b559b.wav,0.388009250164032
26f5e4d84dfc68eb594b2a6696f096e4,"['dance', 'electronic drums', 'groovy', 'percussion']","This moody electronic track is built around a pulsating bassline anchored by syncopated kicks and snappy snares in a mid-tempo beat, with atmospheric pads and filtered synthesizers providing an ethereal background. Distorted guitar textures enter with a repetitive, effects-heavy riff, complemented by haunting vocal snippets treated with reverb and delay. As the chorus approaches, the arrangement expands with soaring strings and a driving arpeggiator pattern, reaching a climactic peak before resolving into the sparse atmosphere of the verses.",161,26f5e4d84dfc68eb594b2a6696f096e4.wav,0.5855927467346191
13a4652f26ff8bfd6cf95790407d8206,"['energetic', 'flat male vocal', 'fun', 'groovy', 'punchy kick']","This electro-rock track begins with an atmospheric synthesizer pad playing sustained chords in C minor over a driving kick drum pattern, establishing a dark and brooding tone. As the verse progresses, distorted guitar arpeggios enter, adding tension. During the chorus, layered harmonies trade melodic phrases above pulsing synths while panned drums propel forward. A filtered vocal hook anchors the section before descending into another textured synth passage during the bridge.",178,13a4652f26ff8bfd6cf95790407d8206.wav,0.4535141885280609
17668ce8253239ad9d685d47be2cb60e,"['acoustic drums', 'acoustic guitar', 'dance', 'electronic', 'electronic drums', 'female vocal', 'groovy', 'male voice', 'medium tempo', 'upbeat']","This melancholic ballad features a piano-driven accompaniment that meanders through a minor key progression with arpeggiated chords, while a mournful violin solo weaves in and out of the arrangement. A subtle string section swells beneath the vocals, adding depth without overpowering them. Gentle percussion underscores the emotional delivery, with sparse use of reverb-drenched guitars providing an intimate atmosphere. Vocal harmonies echo softly throughout, underscoring the sense of longing in this introspective narrative.",126,17668ce8253239ad9d685d47be2cb60e.wav,0.39428985118865967
ce5bfe288e83400aafd02d245f5063e8,"['cinematic', 'electronic drums', 'jazz', 'male voice', 'medium tempo', 'piano', 'slow tempo', 'trumpets']","This haunting ballad features soaring vocal harmonies layered over a minimalist piano accompaniment in 6/8 time signature, introducing a sense of wistful longing from the outset. As the verse progresses, mournful cello textures enter, underscoring the emotional intensity with legato lines and portamenti effects. In contrast, the chorus bursts forth with driving guitar arpeggios and syncopated snare drum patterns, creating an unexpected dynamic shift. A subtle use of reverb and delay enhances the overall ethereal atmosphere throughout.",13,ce5bfe288e83400aafd02d245f5063e8.wav,0.4929296374320984
d21aaaaf6798c78259dcab984ded1d84,"['energetic', 'exciting', 'fast tempo', 'happy', 'keyboard accompaniment', 'passionate']","This atmospheric electro-pop track features lush synthesizers, pulsing beneath a minimalist drum machine beat in 4/4 time at 120 BPM. A haunting vocal performance delivers melancholic lyrics over a repetitive piano arpeggio pattern. As the chorus approaches, filtered bass drops subtly enhance the sense of tension before resolving into a soaring string section, swelling with an added reverb effect for emotional impact. Dynamic contrasts highlight the vocalist's expression throughout this introspective ballad.",359,d21aaaaf6798c78259dcab984ded1d84.wav,0.42409422993659973
fe5202ed78c03304a713e52733f218e8,"['cheerful', 'percussion', 'uptempo']","This atmospheric electronic track unfolds over seven minutes, its downtempo beat (around 90 BPM) anchored by a pulsing synthesizer arpeggio in C minor. A haunting piano motif enters at 1'22"", its legato delivery contrasting with the staccato synth pulses. As the mix deepens, ambient pads swirl around the core instruments, while sparse cymbal hits add rhythmic interest before resolving into a contemplative conclusion featuring reverb-drenched guitar textures. Dynamics range from soft introspection to moderate tension throughout.",136,fe5202ed78c03304a713e52733f218e8.wav,0.46650955080986023
